myb	myb	myb	ctrl	ctrl	ctrl
10134_1	12.220379425222	12.2074497630228	12.1403445375649	11.9210878017092	11.894263068738	12.045915708837
10135_1	8.59280296096972	9.55479354222096	9.01982632765687	8.53915336401	9.04501654540377	8.8271985151678
10137_1	6.93763613755718	7.10348498065051	7.08654494108602	7.6902147961442	7.65372010913287	7.69319453131533
10138_1	9.24180947145521	9.37742611947825	8.92030863673388	8.72251534444607	8.69471708424023	8.98299876237472
10139_1	9.870869569325	9.8185872067132	9.4278330223245	10.1372456058007	10.0318253021761	9.80564001672379
10140_1	10.3131108869171	10.3268145682981	10.2710275126802	10.7515950181783	10.705013019759	10.359395907378
10142_1	8.87534745696792	8.64336453557983	8.54091191503099	8.85508923790673	8.67072791034104	8.87182183376697
10146_1	10.4671365314673	10.5368679864692	10.1587719425947	9.75125185855784	10.3021029605179	10.5190652633811
10147_1	11.4218859459096	11.4080745353016	11.3097097078972	11.5437102868571	11.8460946608167	11.6867958286915
10149_1	1.79231986550215	1.12994583037704	1.22325934391701	2.93116565315362	2.68936446523247	1.73779994446317
1015_1	3.21912792276582	5.69351964351655	5.8125192545897	7.56130599839364	6.8969838423701	7.25225908131117
10150_1	7.01756902449797	7.52618117766063	7.3805571901922	7.42006637803029	8.0648449739929	7.38000235494225
10152_1	7.33239864888175	7.81032865835449	6.88932042228528	7.86047101815296	7.8892966142513	7.68377323424985
10153_1	8.68005698515448	8.9409748669799	8.75885026650839	10.164280334887	10.1267035890471	10.2894772840561
10155_1	12.3438215270084	12.3988722543784	12.5708400958463	12.2613575145819	12.6326950692836	12.2565750133981
10159_1	9.36676441849491	9.91194890859519	9.87690255928284	8.8571693994321	10.0168473576447	9.91290754953469
1016_1	4.98599760700972	2.32937210744436	4.09755556664383	4.49556964320234	3.61288925736495	1.34144434185999
10160_1	3.50774694780847	2.24188957070675	3.36358509111152	1.98283714954263	1.93529612476986	3.05816875626734
10162_1	7.654127818162	7.88255409103003	8.08314647714685	8.0348091102653	7.86247913929858	8.12497976313583
10165_1	8.58886690480901	8.46734806020918	8.46713921807311	8.09502615357144	8.03987498349355	8.17847715757257
1017_1	10.3059775787682	10.1859793895517	9.92847347186005	10.5306616008259	10.6579444223367	10.6494784791404
10174_1	6.38124854491113	7.48390330993988	6.99042093190906	6.72509203518338	7.90575954215658	6.88163886397644
10175_1	11.9330106162778	12.08122358574	11.8011518911357	12.0614355225209	11.8184897158193	11.9592181127448
10178_1	2.3350216604398	5.39017145221455	4.27496207122645	3.85812444896875	3.09459778749248	1.70888475891994
10180_1	8.17876316023869	8.76925297974512	8.4156444041888	8.30963944833947	8.31675366387245	8.23306465102637
